filename,resolved_model,amusement,anger,awe,contentment,disgust,excitement,fear,sadness
amusement/amusement_02938.mp3,deepseek/deepseek-chat-v3,0.51,0.43,0.47,0.45,0.28,0.67,0.26,0.54
amusement/amusement_02946.mp3,deepseek/deepseek-chat-v3,0.55,0.0,0.17,0.26,0.0,0.36,0.0,0.0
amusement/amusement_08239.mp3,deepseek/deepseek-chat-v3,0.44,0.11,0.29,0.15,0.2,0.58,0.29,0.15
amusement/amusement_08302.mp3,deepseek/deepseek-chat-v3,0.72,0.0,0.37,0.45,0.0,0.63,0.27,0.0
amusement/amusement_08316.mp3,deepseek/deepseek-chat-v3,0.45,0.0,0.3,0.0,0.0,0.6,0.0,0.0
amusement/amusement_17644.mp3,deepseek/deepseek-chat-v3,0.45,0.12,0.18,0.22,0.02,0.55,0.25,0.15
amusement/amusement_17647.mp3,deepseek/deepseek-chat-v3,0.72,0.13,0.44,0.38,0.02,0.47,0.28,0.33
amusement/amusement_18892.mp3,deepseek/deepseek-chat-v3,0.61,0.0,0.38,0.19,0.0,0.72,0.22,0.0
amusement/amusement_19692.mp3,deepseek/deepseek-chat-v3,0.45,0.25,0.35,0.3,0.1,0.3,0.3,0.2
anger/anger_01989.mp3,deepseek/deepseek-chat-v3,0.4,0.24,0.19,0.0,0.0,0.5,0.1,0.0
anger/anger_02002.mp3,deepseek/deepseek-chat-v3,0.68,0.16,0.25,0.28,0.0,0.55,0.12,0.0
anger/anger_02010.mp3,deepseek/deepseek-chat-v3,0.39,0.03,0.23,0.15,0.01,0.36,0.01,0.02
anger/anger_04337.mp3,deepseek/deepseek-chat-v3,0.5,0.25,0.15,0.35,0.1,0.45,0.1,0.15
anger/anger_08253.mp3,deepseek/deepseek-chat-v3,0.58,0.16,0.28,0.31,0.15,0.63,0.16,0.0
anger/anger_09078.mp3,deepseek/deepseek-chat-v3,0.42,0.18,0.36,0.32,0.02,0.35,0.0,0.0
awe/awe_09117.mp3,deepseek/deepseek-chat-v3,0.75,0.0,0.8,0.5,0.0,0.6,0.1,0.0
awe/awe_09139.mp3,deepseek/deepseek-chat-v3,0.28,0.0,0.38,0.21,0.12,0.21,0.22,0.01
awe/awe_09148.mp3,deepseek/deepseek-chat-v3,0.48,0.0,0.25,0.44,0.07,0.49,0.28,0.13
awe/awe_09150.mp3,deepseek/deepseek-chat-v3,0.41,0.0,0.16,0.31,0.0,0.26,0.0,0.0
awe/awe_09155.mp3,deepseek/deepseek-chat-v3,0.28,0.09,0.46,0.15,0.12,0.22,0.19,0.07
awe/awe_09172.mp3,deepseek/deepseek-chat-v3,0.54,0.0,0.25,0.62,0.0,0.65,0.0,0.0
