filename,resolved_model,amusement,anger,awe,contentment,disgust,excitement,fear,sadness
amusement/amusement_02943.mp3,openai/gpt-4o-mini,0.55,0.0,0.5,0.7,0.3,0.8,0.1,0.2
amusement/amusement_08269.mp3,openai/gpt-4o-mini,0.65,0.1,0.5,0.3,0.2,0.75,0.1,0.05
amusement/amusement_08310.mp3,openai/gpt-4o-mini,0.35,0.3,0.05,0.6,0.4,0.85,0.5,0.4
amusement/amusement_08339.mp3,openai/gpt-4o-mini,0.75,0.25,0.1,0.3,0.05,0.65,0.6,0.2
amusement/amusement_17647.mp3,openai/gpt-4o-mini,0.75,0.25,0.55,0.1,0.15,0.65,0.45,0.1
amusement/amusement_17660.mp3,openai/gpt-4o-mini,0.25,0.4,0.35,0.2,0.0,0.6,0.7,0.2
amusement/amusement_19692.mp3,openai/gpt-4o-mini,0.65,0.05,0.75,0.35,0.0,0.5,0.4,0.1
anger/anger_01988.mp3,openai/gpt-4o-mini,0.5,0.8,0.4,0.1,0.2,0.7,0.3,0.4
anger/anger_02004.mp3,openai/gpt-4o-mini,0.25,0.75,0.3,0.4,0.5,0.5,0.6,0.1
anger/anger_04345.mp3,openai/gpt-4o-mini,0.45,0.75,0.65,0.05,0.85,0.15,0.3,0.7
anger/anger_08256.mp3,openai/gpt-4o-mini,0.35,0.85,0.45,0.1,0.2,0.6,0.0,0.5
anger/anger_08262.mp3,openai/gpt-4o-mini,0.1,0.8,0.7,0.1,0.4,0.5,0.1,0.1
anger/anger_10052.mp3,openai/gpt-4o-mini,0.2,0.8,0.5,0.0,0.05,0.3,0.1,0.6
awe/awe_09141.mp3,openai/gpt-4o-mini,0.45,0.25,0.7,0.6,0.0,0.4,0.15,0.2
awe/awe_09142.mp3,openai/gpt-4o-mini,0.45,0.1,0.75,0.5,0.0,0.4,0.2,0.1
awe/awe_09144.mp3,openai/gpt-4o-mini,0.45,0.1,0.7,0.6,0.0,0.5,0.1,0.2
awe/awe_09154.mp3,openai/gpt-4o-mini,0.42,0.15,1.0,0.45,0.0,0.4,0.01,0.14
awe/awe_09165.mp3,openai/gpt-4o-mini,0.35,0.21,0.76,0.1,0.2,0.3,0.2,0.05
awe/awe_14548.mp3,openai/gpt-4o-mini,0.25,0.05,0.35,0.4,0.01,0.45,0.15,0.02
contentment/contentment_09968.mp3,openai/gpt-4o-mini,0.4,0.0,0.7,0.5,0.1,0.2,0.2,0.4
contentment/contentment_09985.mp3,openai/gpt-4o-mini,0.45,0.1,0.2,0.9,0.35,0.25,0.0,0.15
contentment/contentment_09991.mp3,openai/gpt-4o-mini,0.45,0.0,0.4,0.6,0.1,0.5,0.0,0.1
contentment/contentment_09996.mp3,openai/gpt-4o-mini,0.35,0.0,0.4,0.6,0.1,0.5,0.2,0.25
contentment/contentment_09997.mp3,openai/gpt-4o-mini,0.45,0.0,0.25,0.75,0.35,0.4,0.25,0.3
contentment/contentment_10017.mp3,openai/gpt-4o-mini,0.45,0.1,0.55,0.85,0.4,0.5,0.0,0.1
disgust/disgust_00509.mp3,openai/gpt-4o-mini,0.2,0.5,0.7,0.3,0.6,0.1,0.4,0.2
disgust/disgust_02047.mp3,openai/gpt-4o-mini,0.4,0.7,0.3,0.2,0.6,0.1,0.0,0.8
disgust/disgust_03228.mp3,openai/gpt-4o-mini,0.05,0.45,0.1,0.75,0.2,0.65,0.1,0.3
disgust/disgust_04038.mp3,openai/gpt-4o-mini,0.15,0.65,0.05,0.5,1.0,0.1,0.0,0.5
disgust/disgust_06466.mp3,openai/gpt-4o-mini,0.1,0.8,0.02,0.4,1.0,0.35,0.05,0.5
disgust/disgust_06543.mp3,openai/gpt-4o-mini,0.35,0.55,0.75,0.65,0.85,0.6,0.1,0.05
excitement/excitement_07980.mp3,openai/gpt-4o-mini,0.65,0.15,0.55,0.45,0.0,0.78,0.25,0.1
excitement/excitement_08007.mp3,openai/gpt-4o-mini,0.55,0.25,0.85,0.7,0.0,1.0,0.6,0.2
excitement/excitement_08008.mp3,openai/gpt-4o-mini,0.55,0.1,0.4,0.65,0.0,0.85,0.3,0.1
excitement/excitement_08031.mp3,openai/gpt-4o-mini,0.65,0.1,0.2,0.7,0.0,0.85,0.4,0.1
excitement/excitement_15995.mp3,openai/gpt-4o-mini,0.65,0.25,0.8,0.75,0.0,0.9,0.6,0.3
excitement/excitement_16004.mp3,openai/gpt-4o-mini,0.45,0.1,0.35,0.75,0.0,0.85,0.15,0.05
excitement/excitement_16006.mp3,openai/gpt-4o-mini,0.55,0.25,0.75,0.1,0.3,0.6,0.4,0.1
fear/fear_03287.mp3,openai/gpt-4o-mini,0.3,0.85,0.4,0.0,0.7,0.5,0.75,0.65
fear/fear_09153.mp3,openai/gpt-4o-mini,0.1,0.3,0.7,0.1,0.2,0.0,0.8,0.3
fear/fear_09170.mp3,openai/gpt-4o-mini,0.65,0.25,0.0,0.65,0.3,0.5,0.85,0.4
fear/fear_09173.mp3,openai/gpt-4o-mini,0.1,0.3,0.4,0.2,0.0,0.4,0.85,0.5
fear/fear_09183.mp3,openai/gpt-4o-mini,0.5,0.7,0.8,0.0,0.4,0.5,0.9,0.6
fear/fear_09249.mp3,openai/gpt-4o-mini,0.1,0.5,0.4,0.1,0.3,0.0,0.8,0.6
sadness/sadness_03442.mp3,openai/gpt-4o-mini,0.25,0.35,0.05,0.3,0.15,0.4,0.3,0.9
sadness/sadness_03451.mp3,openai/gpt-4o-mini,0.3,0.5,0.4,0.2,0.4,0.0,0.5,1.0
sadness/sadness_03452.mp3,openai/gpt-4o-mini,0.55,0.1,0.75,0.8,0.05,0.3,0.3,0.95
sadness/sadness_06469.mp3,openai/gpt-4o-mini,0.25,0.1,0.5,0.4,0.1,0.2,0.05,0.3
sadness/sadness_07965.mp3,openai/gpt-4o-mini,0.25,0.55,0.45,0.0,0.5,0.3,0.4,0.75
sadness/sadness_07972.mp3,openai/gpt-4o-mini,0.25,0.35,0.4,0.05,0.2,0.1,0.15,0.85
