filename,amusement,anger,awe,contentment,disgust,excitement,fear,sadness
amusement/amusement_08270.mp3,0.65,0.24,0.59,0.28,0.45,0.41,0.23,0.0
amusement/amusement_08275.mp3,0.06,0.02,0.02,0.03,0.15,0.04,0.08,0.12
amusement/amusement_08297.mp3,0.23,0.72,0.96,0.15,0.62,0.57,0.73,0.69
amusement/amusement_08307.mp3,0.41,0.4,0.7,0.23,0.55,0.47,0.75,0.5
amusement/amusement_17657.mp3,0.76,0.15,0.11,0.75,0.06,0.51,0.08,0.09
anger/anger_04393.mp3,0.4,0.24,0.45,0.0,0.21,0.48,0.19,0.21
anger/anger_04394.mp3,0.68,0.0,0.0,0.58,0.0,0.49,0.0,0.21
anger/anger_08261.mp3,0.0,0.73,0.69,0.0,0.12,0.0,1.0,1.0
anger/anger_10022.mp3,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0
awe/awe_09147.mp3,0.0,0.08,0.14,0.09,0.0,0.07,0.11,0.32
awe/awe_09153.mp3,0.44,0.47,0.12,0.22,0.21,0.37,0.24,0.45
awe/awe_15281.mp3,0.48,0.49,0.65,0.47,0.15,0.17,0.15,0.0
contentment/contentment_09999.mp3,0.38,0.0,0.52,0.38,0.0,0.41,0.5,0.32
contentment/contentment_10006.mp3,0.75,0.06,0.27,0.72,0.07,0.5,0.06,0.09
contentment/contentment_10021.mp3,0.11,0.12,0.0,0.0,0.03,0.08,0.18,0.07
disgust/disgust_03239.mp3,0.28,0.54,0.79,0.11,0.09,0.08,0.72,0.26
disgust/disgust_07002.mp3,0.17,0.19,0.45,0.24,0.43,0.14,0.48,0.59
disgust/disgust_07618.mp3,0.06,1.0,0.09,0.18,1.0,0.06,0.18,0.16
disgust/disgust_07687.mp3,0.06,0.1,0.15,0.17,0.19,0.17,0.24,0.2
excitement/excitement_07985.mp3,0.7,0.58,0.48,0.25,0.0,0.72,0.84,0.0
excitement/excitement_15994.mp3,0.47,0.0,0.24,0.21,0.0,0.26,0.0,0.25
fear/fear_09155.mp3,0.02,0.15,0.57,0.75,0.35,0.27,0.4,0.44
fear/fear_09164.mp3,0.77,0.33,0.55,0.52,0.09,0.54,0.33,0.16
sadness/sadness_03440.mp3,0.59,0.22,0.65,0.47,0.24,0.64,0.25,0.59
sadness/sadness_03471.mp3,0.0,0.31,0.65,0.0,0.41,0.44,0.57,0.15
sadness/sadness_07966.mp3,0.06,0.48,0.5,0.0,0.17,0.41,0.33,0.12
