filename,resolved_model,amusement,anger,awe,contentment,disgust,excitement,fear,sadness
amusement/amusement_08270.mp3,openai/gpt-4o-mini,0.65,0.2,0.3,0.1,0.05,0.5,0.4,0.05
amusement/amusement_08275.mp3,openai/gpt-4o-mini,0.45,0.3,0.6,0.35,0.1,0.75,0.4,0.05
amusement/amusement_08297.mp3,openai/gpt-4o-mini,0.55,0.25,0.35,0.15,0.0,0.75,0.65,0.1
amusement/amusement_08307.mp3,openai/gpt-4o-mini,0.55,0.25,0.2,0.4,0.05,0.3,0.6,0.5
amusement/amusement_17657.mp3,openai/gpt-4o-mini,0.55,0.25,0.45,0.1,0.3,0.75,0.5,0.2
anger/anger_04393.mp3,openai/gpt-4o-mini,0.55,0.9,0.6,0.25,0.0,0.75,0.15,0.25
anger/anger_04394.mp3,openai/gpt-4o-mini,0.75,0.0,0.1,0.0,0.5,0.85,0.1,0.5
anger/anger_08261.mp3,openai/gpt-4o-mini,0.65,0.25,0.25,0.1,0.6,0.3,0.5,0.2
anger/anger_10022.mp3,openai/gpt-4o-mini,0.25,0.6,0.5,0.3,0.4,0.5,0.0,0.4
awe/awe_09147.mp3,openai/gpt-4o-mini,0.45,0.1,0.85,0.65,0.2,0.4,0.0,0.2
awe/awe_09153.mp3,openai/gpt-4o-mini,0.35,0.15,0.75,0.45,0.0,0.55,0.1,0.1
awe/awe_15281.mp3,openai/gpt-4o-mini,0.45,0.1,0.7,0.6,0.05,0.4,0.2,0.1
contentment/contentment_09999.mp3,openai/gpt-4o-mini,0.35,0.0,0.55,0.65,0.25,0.75,0.3,0.15
contentment/contentment_10006.mp3,openai/gpt-4o-mini,0.65,0.05,0.75,0.85,0.15,0.8,0.5,0.1
contentment/contentment_10021.mp3,openai/gpt-4o-mini,0.35,0.0,0.15,0.75,0.2,0.3,0.01,0.05
disgust/disgust_03239.mp3,openai/gpt-4o-mini,0.15,0.65,0.0,0.5,0.0,0.05,0.4,0.6
disgust/disgust_07002.mp3,openai/gpt-4o-mini,0.5,0.4,0.0,0.2,1.0,0.4,0.3,0.5
disgust/disgust_07618.mp3,openai/gpt-4o-mini,0.0,0.75,0.01,0.55,1.0,0.2,0.1,0.3
disgust/disgust_07687.mp3,openai/gpt-4o-mini,0.1,0.5,0.3,0.7,0.9,0.4,0.3,0.2
excitement/excitement_07985.mp3,openai/gpt-4o-mini,0.45,0.25,0.55,0.5,0.0,0.3,0.6,0.02
excitement/excitement_15994.mp3,openai/gpt-4o-mini,0.55,0.25,0.5,0.45,0.05,0.75,0.6,0.1
fear/fear_09155.mp3,openai/gpt-4o-mini,0.55,0.65,0.25,0.05,0.55,0.75,0.85,0.01
fear/fear_09164.mp3,openai/gpt-4o-mini,0.55,0.45,0.65,0.3,0.4,0.7,0.85,0.05
sadness/sadness_03440.mp3,openai/gpt-4o-mini,0.35,0.1,0.6,0.4,0.0,0.05,0.5,0.15
sadness/sadness_03471.mp3,openai/gpt-4o-mini,0.45,0.3,0.5,0.25,0.2,0.15,0.0,0.85
sadness/sadness_07966.mp3,openai/gpt-4o-mini,0.35,0.1,0.3,0.5,0.3,0.1,0.0,0.6
