filename,resolved_model,amusement,anger,awe,contentment,disgust,excitement,fear,sadness
amusement/amusement_08270.mp3,deepseek/deepseek-chat-v3,0.44,0.23,0.32,0.25,0.07,0.38,0.34,0.06
amusement/amusement_08275.mp3,deepseek/deepseek-chat-v3,0.355,0.505,0.48,0.35,0.415,0.465,0.475,0.465
amusement/amusement_08297.mp3,deepseek/deepseek-chat-v3,0.31,0.0,0.23,0.0,0.0,0.45,0.38,0.0
amusement/amusement_08307.mp3,deepseek/deepseek-chat-v3,0.65,0.25,0.29,0.47,0.07,0.52,0.21,0.28
amusement/amusement_17657.mp3,deepseek/deepseek-chat-v3,0.47,0.068,0.213,0.238,0.097,0.47,0.371,0.371
anger/anger_04393.mp3,deepseek/deepseek-chat-v3,0.5,0.13,0.31,0.2,0.08,0.45,0.1,0.1
anger/anger_04394.mp3,deepseek/deepseek-chat-v3,0.6,0.08,0.3,0.2,0.3,0.5,0.1,0.2
anger/anger_08261.mp3,deepseek/deepseek-chat-v3,0.45,0.25,0.35,0.2,0.3,0.2,0.15,0.1
anger/anger_10022.mp3,deepseek/deepseek-chat-v3,0.24,0.52,0.44,0.38,0.0,0.38,0.24,0.24
awe/awe_09147.mp3,deepseek/deepseek-chat-v3,0.72,0.08,0.68,0.52,0.12,0.58,0.34,0.28
awe/awe_09153.mp3,deepseek/deepseek-chat-v3,0.39,0.08,0.37,0.47,0.01,0.48,0.14,0.05
awe/awe_15281.mp3,deepseek/deepseek-chat-v3,0.63,0.0,0.71,0.49,0.02,0.58,0.13,0.1
contentment/contentment_09999.mp3,deepseek/deepseek-chat-v3,0.45,0.1,0.4,0.55,0.1,0.5,0.1,0.2
contentment/contentment_10006.mp3,deepseek/deepseek-chat-v3,0.65,0.24,0.51,0.85,0.23,0.38,0.28,0.21
contentment/contentment_10021.mp3,deepseek/deepseek-chat-v3,0.45,0.0,0.22,0.65,0.15,0.35,0.1,0.08
disgust/disgust_03239.mp3,deepseek/deepseek-chat-v3,0.14,0.1,0.35,0.02,0.02,0.28,0.36,0.02
disgust/disgust_07002.mp3,deepseek/deepseek-chat-v3,0.52,0.22,0.0,0.25,0.08,0.49,0.42,0.0
disgust/disgust_07618.mp3,deepseek/deepseek-chat-v3,0.1,0.3,0.2,0.1,0.2,0.1,0.1,0.1
disgust/disgust_07687.mp3,deepseek/deepseek-chat-v3,0.67,0.59,0.28,0.22,0.06,0.35,0.28,0.12
excitement/excitement_07985.mp3,deepseek/deepseek-chat-v3,0.38,0.28,0.49,0.46,0.01,0.18,0.29,0.22
excitement/excitement_15994.mp3,deepseek/deepseek-chat-v3,0.45,0.12,0.35,0.38,0.01,0.28,0.18,0.02
fear/fear_09155.mp3,deepseek/deepseek-chat-v3,0.48,0.45,0.19,0.3,0.3,0.5,0.2,0.1
fear/fear_09164.mp3,deepseek/deepseek-chat-v3,0.45,0.4,0.35,0.3,0.2,0.4,0.6,0.1
sadness/sadness_03440.mp3,deepseek/deepseek-chat-v3,0.39,0.17,0.28,0.35,0.09,0.45,0.38,0.22
sadness/sadness_03471.mp3,deepseek/deepseek-chat-v3,0.32,0.0,0.42,0.26,0.0,0.36,0.0,0.0
sadness/sadness_07966.mp3,deepseek/deepseek-chat-v3,0.25,0.0,0.2,0.3,0.0,0.4,0.1,0.15
