filename,resolved_model,amusement,anger,awe,contentment,disgust,excitement,fear,sadness
amusement/amusement_02936.mp3,deepseek/deepseek-chat-v3,0.43,0.0,0.32,0.78,0.0,0.67,0.18,0.0
amusement/amusement_02945.mp3,deepseek/deepseek-chat-v3,0.45,0.15,0.35,0.3,0.0,0.65,0.5,0.1
amusement/amusement_08272.mp3,deepseek/deepseek-chat-v3,0.48,0.45,0.25,0.2,0.1,0.5,0.3,0.2
amusement/amusement_08284.mp3,deepseek/deepseek-chat-v3,0.62,0.18,0.25,0.42,0.09,0.63,0.32,0.15
amusement/amusement_08311.mp3,deepseek/deepseek-chat-v3,0.23,0.29,0.34,0.83,0.04,0.79,0.19,0.33
amusement/amusement_08336.mp3,deepseek/deepseek-chat-v3,0.45,0.0,0.5,0.0,0.0,0.3,0.4,0.0
anger/anger_02009.mp3,deepseek/deepseek-chat-v3,0.3,0.0,0.0,0.35,0.1,0.2,0.0,0.0
anger/anger_04341.mp3,deepseek/deepseek-chat-v3,0.3,0.0,0.0,0.26,0.03,0.12,0.0,0.0
anger/anger_04353.mp3,deepseek/deepseek-chat-v3,0.42,0.23,0.29,0.28,0.09,0.62,0.21,0.13
anger/anger_04355.mp3,deepseek/deepseek-chat-v3,0.36,0.23,0.0,0.63,0.0,0.54,0.0,0.28
anger/anger_04395.mp3,deepseek/deepseek-chat-v3,0.25,0.73,0.16,0.0,0.12,0.0,1.0,1.0
anger/anger_10052.mp3,deepseek/deepseek-chat-v3,0.1,0.5,0.3,0.0,0.2,0.1,0.3,0.1
awe/awe_09115.mp3,deepseek/deepseek-chat-v3,0.35,0.05,0.3,0.4,0.1,0.45,0.1,0.0
awe/awe_09143.mp3,deepseek/deepseek-chat-v3,0.42,0.0,0.25,0.1,0.08,0.15,0.0,0.0
awe/awe_09162.mp3,deepseek/deepseek-chat-v3,0.81,0.0,0.71,0.49,0.0,0.64,0.16,0.04
awe/awe_09163.mp3,deepseek/deepseek-chat-v3,0.64,0.0,0.5,0.44,0.0,0.49,0.0,0.0
awe/awe_09166.mp3,deepseek/deepseek-chat-v3,0.44,0.21,0.25,0.31,0.1,0.41,0.24,0.22
awe/awe_09167.mp3,deepseek/deepseek-chat-v3,0.38,0.12,0.15,0.43,0.18,0.39,0.22,0.1
contentment/contentment_08263.mp3,deepseek/deepseek-chat-v3,0.35,0.2,0.5,0.2,0.3,0.3,0.2,0.1
contentment/contentment_09956.mp3,deepseek/deepseek-chat-v3,0.41,0.37,0.62,0.36,0.38,0.26,0.26,0.21
contentment/contentment_09996.mp3,deepseek/deepseek-chat-v3,0.38,0.0,0.42,0.62,0.01,0.46,0.15,0.17
contentment/contentment_10002.mp3,deepseek/deepseek-chat-v3,0.59,0.0,0.29,0.13,0.0,0.42,0.01,0.0
contentment/contentment_10110.mp3,deepseek/deepseek-chat-v3,0.58,0.03,0.28,0.63,0.08,0.38,0.15,0.05
