filename,resolved_model,amusement,anger,awe,contentment,disgust,excitement,fear,sadness
amusement/amusement_02936.mp3,openai/gpt-4o-mini,0.25,0.1,0.5,0.85,0.4,0.7,0.6,0.3
amusement/amusement_02945.mp3,openai/gpt-4o-mini,0.65,0.15,0.35,0.5,0.0,0.7,0.4,0.1
amusement/amusement_08272.mp3,openai/gpt-4o-mini,0.65,0.55,0.35,0.1,0.1,0.85,0.75,0.2
amusement/amusement_08284.mp3,openai/gpt-4o-mini,0.65,0.25,0.05,0.4,0.2,0.7,0.6,0.1
amusement/amusement_08311.mp3,openai/gpt-4o-mini,0.75,0.3,0.4,0.1,0.0,0.6,0.5,0.2
amusement/amusement_08336.mp3,openai/gpt-4o-mini,0.45,0.25,0.35,0.0,0.65,0.1,0.6,0.5
anger/anger_02009.mp3,openai/gpt-4o-mini,0.55,0.0,0.1,0.3,0.2,0.6,0.1,0.0
anger/anger_04341.mp3,openai/gpt-4o-mini,0.45,0.9,0.6,0.1,0.5,0.4,0.5,0.7
anger/anger_04353.mp3,openai/gpt-4o-mini,0.35,0.85,0.1,0.25,0.0,0.9,0.3,0.4
anger/anger_04355.mp3,openai/gpt-4o-mini,0.45,0.55,0.1,0.3,0.4,0.5,0.0,0.6
anger/anger_04395.mp3,openai/gpt-4o-mini,0.45,0.85,0.5,0.0,0.6,0.15,0.7,0.5
anger/anger_10052.mp3,openai/gpt-4o-mini,0.1,0.6,0.5,0.0,0.1,0.2,0.2,0.7
awe/awe_09115.mp3,openai/gpt-4o-mini,0.4,0.1,0.6,0.5,0.1,0.4,0.3,0.0
awe/awe_09143.mp3,openai/gpt-4o-mini,0.42,0.1,0.35,0.2,0.1,0.25,0.05,0.0
awe/awe_09162.mp3,openai/gpt-4o-mini,0.5,0.1,0.75,0.6,0.0,0.5,0.3,0.1
awe/awe_09163.mp3,openai/gpt-4o-mini,0.5,0.2,0.9,0.6,0.0,0.5,0.1,0.2
awe/awe_09166.mp3,openai/gpt-4o-mini,0.43,0.25,1.0,0.55,0.0,0.53,0.17,0.13
awe/awe_09167.mp3,openai/gpt-4o-mini,0.5,0.3,0.6,0.6,0.2,0.5,0.4,0.0
contentment/contentment_08263.mp3,openai/gpt-4o-mini,0.2,0.1,0.75,0.4,0.3,0.5,0.0,0.1
contentment/contentment_09956.mp3,openai/gpt-4o-mini,0.5,0.0,0.65,0.7,0.1,0.2,0.1,0.05
contentment/contentment_09996.mp3,openai/gpt-4o-mini,0.35,0.0,0.4,0.5,0.1,0.5,0.2,0.25
contentment/contentment_10002.mp3,openai/gpt-4o-mini,0.45,0.0,0.4,0.7,0.5,0.6,0.4,0.3
contentment/contentment_10110.mp3,openai/gpt-4o-mini,0.5,0.0,0.4,0.85,0.3,0.2,0.5,0.4
disgust/disgust_00534.mp3,openai/gpt-4o-mini,0.25,0.5,0.1,0.2,0.6,0.4,0.7,0.3
disgust/disgust_02051.mp3,openai/gpt-4o-mini,0.55,0.75,0.5,0.25,0.85,0.1,0.5,0.7
disgust/disgust_08857.mp3,openai/gpt-4o-mini,0.5,0.8,0.4,0.1,0.7,0.1,0.2,0.6
disgust/disgust_08884.mp3,openai/gpt-4o-mini,0.1,0.7,0.05,0.4,1.0,0.3,0.2,0.4
disgust/disgust_10797.mp3,openai/gpt-4o-mini,0.5,0.6,0.4,0.5,0.8,0.3,0.0,0.9
excitement/excitement_07977.mp3,openai/gpt-4o-mini,0.45,0.0,0.15,0.55,0.25,0.85,0.15,0.25
excitement/excitement_08003.mp3,openai/gpt-4o-mini,0.25,0.35,0.1,0.5,0.0,0.75,0.7,0.1
excitement/excitement_08004.mp3,openai/gpt-4o-mini,0.75,0.15,0.55,0.8,0.05,0.9,0.3,0.0
excitement/excitement_08023.mp3,openai/gpt-4o-mini,0.55,0.25,0.55,0.45,0.0,0.75,0.5,0.05
excitement/excitement_08027.mp3,openai/gpt-4o-mini,0.55,0.1,0.45,0.65,0.2,0.85,0.3,0.05
excitement/excitement_16001.mp3,openai/gpt-4o-mini,0.45,0.05,0.35,0.55,0.25,0.75,0.1,0.02
fear/fear_03297.mp3,openai/gpt-4o-mini,0.65,0.5,0.4,0.1,0.3,0.5,0.75,0.05
fear/fear_09148.mp3,openai/gpt-4o-mini,0.75,0.3,0.0,0.7,0.4,0.6,0.9,0.2
fear/fear_09151.mp3,openai/gpt-4o-mini,0.65,0.45,0.35,0.65,0.75,0.5,0.9,0.05
fear/fear_09191.mp3,openai/gpt-4o-mini,0.45,0.25,0.85,0.55,0.1,0.6,1.0,0.1
fear/fear_09247.mp3,openai/gpt-4o-mini,0.5,0.7,0.0,0.6,0.5,0.7,0.9,0.2
fear/fear_14992.mp3,openai/gpt-4o-mini,0.65,0.1,0.35,0.25,0.3,0.55,0.9,0.05
sadness/sadness_03454.mp3,openai/gpt-4o-mini,0.55,0.35,0.1,0.65,0.5,0.45,0.5,0.75
sadness/sadness_03477.mp3,openai/gpt-4o-mini,0.25,0.15,0.25,0.45,0.3,0.0,0.35,0.8
sadness/sadness_07947.mp3,openai/gpt-4o-mini,0.05,0.65,0.25,0.0,0.7,0.1,0.2,0.9
sadness/sadness_07964.mp3,openai/gpt-4o-mini,0.25,0.15,0.3,0.4,0.2,0.0,0.25,0.85
sadness/sadness_07973.mp3,openai/gpt-4o-mini,0.1,0.7,0.9,0.0,0.01,0.3,0.25,0.95
sadness/sadness_07977.mp3,openai/gpt-4o-mini,0.25,0.3,0.5,0.7,0.4,0.1,0.05,0.9
